user,date,cluster,cluster_name
147,2022-03-20 12:12:27,10,bytearray(b'Achiever')
147,2022-04-08 09:44:09,10,bytearray(b'Achiever')
147,2022-04-11 18:18:27,10,bytearray(b'Achiever')
147,2022-04-19 13:00:42,10,bytearray(b'Achiever')
147,2022-04-26 19:31:44,10,bytearray(b'Achiever')
147,2022-05-05 17:26:32,10,bytearray(b'Achiever')
148,2022-03-15 22:31:32,11,bytearray(b'Regular')
148,2022-03-20 12:12:27,14,bytearray(b'Regular_achieverlike')
148,2022-04-08 09:44:09,10,bytearray(b'Achiever')
148,2022-04-11 18:18:27,10,bytearray(b'Achiever')
148,2022-04-19 13:00:42,10,bytearray(b'Achiever')
148,2022-04-26 19:31:44,10,bytearray(b'Achiever')
148,2022-05-05 17:26:32,10,bytearray(b'Achiever')
149,2022-03-15 22:31:32,10,bytearray(b'Achiever')
149,2022-03-20 12:12:27,10,bytearray(b'Achiever')
149,2022-04-08 09:44:09,10,bytearray(b'Achiever')
149,2022-04-11 18:18:27,10,bytearray(b'Achiever')
149,2022-04-19 13:00:42,10,bytearray(b'Achiever')
149,2022-04-26 19:31:44,10,bytearray(b'Achiever')
149,2022-05-05 17:26:32,10,bytearray(b'Achiever')
150,2022-03-15 22:31:32,11,bytearray(b'Regular')
150,2022-03-20 12:12:27,10,bytearray(b'Achiever')
150,2022-04-08 09:44:09,10,bytearray(b'Achiever')
150,2022-04-11 18:18:27,10,bytearray(b'Achiever')
150,2022-04-19 13:00:42,10,bytearray(b'Achiever')
150,2022-04-26 19:31:44,10,bytearray(b'Achiever')
150,2022-05-05 17:26:32,10,bytearray(b'Achiever')
151,2022-03-15 22:31:32,12,bytearray(b'Halfhearted')
151,2022-03-20 12:12:27,15,bytearray(b'Regular_halfheartedlike')
151,2022-04-08 09:44:09,12,bytearray(b'Halfhearted')
151,2022-04-11 18:18:27,12,bytearray(b'Halfhearted')
151,2022-04-19 13:00:42,12,bytearray(b'Halfhearted')
151,2022-04-26 19:31:44,12,bytearray(b'Halfhearted')
151,2022-05-05 17:26:32,12,bytearray(b'Halfhearted')
152,2022-03-15 22:31:32,11,bytearray(b'Regular')
152,2022-03-20 12:12:27,10,bytearray(b'Achiever')
152,2022-04-08 09:44:09,14,bytearray(b'Regular_achieverlike')
152,2022-04-11 18:18:27,10,bytearray(b'Achiever')
152,2022-04-19 13:00:42,10,bytearray(b'Achiever')
152,2022-04-26 19:31:44,10,bytearray(b'Achiever')
152,2022-05-05 17:26:32,14,bytearray(b'Regular_achieverlike')
153,2022-03-15 22:31:32,10,bytearray(b'Achiever')
153,2022-03-20 12:12:27,10,bytearray(b'Achiever')
153,2022-04-08 09:44:09,10,bytearray(b'Achiever')
153,2022-04-11 18:18:27,10,bytearray(b'Achiever')
153,2022-04-19 13:00:42,10,bytearray(b'Achiever')
153,2022-04-26 19:31:44,10,bytearray(b'Achiever')
153,2022-05-05 17:26:32,10,bytearray(b'Achiever')
154,2022-03-15 22:31:32,10,bytearray(b'Achiever')
154,2022-03-20 12:12:27,10,bytearray(b'Achiever')
154,2022-04-08 09:44:09,14,bytearray(b'Regular_achieverlike')
154,2022-04-11 18:18:27,14,bytearray(b'Regular_achieverlike')
154,2022-04-19 13:00:42,14,bytearray(b'Regular_achieverlike')
154,2022-04-26 19:31:44,10,bytearray(b'Achiever')
154,2022-05-05 17:26:32,14,bytearray(b'Regular_achieverlike')
155,2022-03-15 22:31:32,11,bytearray(b'Regular')
155,2022-03-20 12:12:27,14,bytearray(b'Regular_achieverlike')
155,2022-04-08 09:44:09,14,bytearray(b'Regular_achieverlike')
155,2022-04-11 18:18:27,14,bytearray(b'Regular_achieverlike')
155,2022-04-19 13:00:42,14,bytearray(b'Regular_achieverlike')
155,2022-04-26 19:31:44,14,bytearray(b'Regular_achieverlike')
155,2022-05-05 17:26:32,14,bytearray(b'Regular_achieverlike')
156,2022-03-15 22:31:32,12,bytearray(b'Halfhearted')
156,2022-03-20 12:12:27,14,bytearray(b'Regular_achieverlike')
156,2022-04-08 09:44:09,14,bytearray(b'Regular_achieverlike')
156,2022-04-11 18:18:27,14,bytearray(b'Regular_achieverlike')
156,2022-04-19 13:00:42,12,bytearray(b'Halfhearted')
156,2022-04-26 19:31:44,12,bytearray(b'Halfhearted')
156,2022-05-05 17:26:32,12,bytearray(b'Halfhearted')
157,2022-03-15 22:31:32,12,bytearray(b'Halfhearted')
157,2022-03-20 12:12:27,14,bytearray(b'Regular_achieverlike')
157,2022-04-08 09:44:09,14,bytearray(b'Regular_achieverlike')
157,2022-04-11 18:18:27,10,bytearray(b'Achiever')
157,2022-04-19 13:00:42,10,bytearray(b'Achiever')
157,2022-04-26 19:31:44,10,bytearray(b'Achiever')
157,2022-05-05 17:26:32,14,bytearray(b'Regular_achieverlike')
158,2022-03-15 22:31:32,10,bytearray(b'Achiever')
158,2022-03-20 12:12:27,10,bytearray(b'Achiever')
158,2022-04-08 09:44:09,10,bytearray(b'Achiever')
158,2022-04-11 18:18:27,10,bytearray(b'Achiever')
158,2022-04-19 13:00:42,10,bytearray(b'Achiever')
158,2022-04-26 19:31:44,10,bytearray(b'Achiever')
158,2022-05-05 17:26:32,10,bytearray(b'Achiever')
159,2022-03-15 22:31:32,12,bytearray(b'Halfhearted')
159,2022-03-20 12:12:27,15,bytearray(b'Regular_halfheartedlike')
159,2022-04-08 09:44:09,15,bytearray(b'Regular_halfheartedlike')
159,2022-04-11 18:18:27,15,bytearray(b'Regular_halfheartedlike')
159,2022-04-19 13:00:42,15,bytearray(b'Regular_halfheartedlike')
159,2022-04-26 19:31:44,15,bytearray(b'Regular_halfheartedlike')
159,2022-05-05 17:26:32,15,bytearray(b'Regular_halfheartedlike')
160,2022-03-15 22:31:32,10,bytearray(b'Achiever')
160,2022-03-20 12:12:27,15,bytearray(b'Regular_halfheartedlike')
160,2022-04-08 09:44:09,15,bytearray(b'Regular_halfheartedlike')
160,2022-04-11 18:18:27,15,bytearray(b'Regular_halfheartedlike')
160,2022-04-19 13:00:42,15,bytearray(b'Regular_halfheartedlike')
160,2022-04-26 19:31:44,15,bytearray(b'Regular_halfheartedlike')
160,2022-05-05 17:26:32,15,bytearray(b'Regular_halfheartedlike')
161,2022-03-15 22:31:32,12,bytearray(b'Halfhearted')
161,2022-03-20 12:12:27,12,bytearray(b'Halfhearted')
161,2022-04-08 09:44:09,12,bytearray(b'Halfhearted')
161,2022-04-11 18:18:27,12,bytearray(b'Halfhearted')
161,2022-04-19 13:00:42,12,bytearray(b'Halfhearted')
161,2022-04-26 19:31:44,12,bytearray(b'Halfhearted')
161,2022-05-05 17:26:32,12,bytearray(b'Halfhearted')
162,2022-03-15 22:31:32,11,bytearray(b'Regular')
162,2022-03-20 12:12:27,14,bytearray(b'Regular_achieverlike')
162,2022-04-08 09:44:09,14,bytearray(b'Regular_achieverlike')
162,2022-04-11 18:18:27,14,bytearray(b'Regular_achieverlike')
162,2022-04-19 13:00:42,14,bytearray(b'Regular_achieverlike')
162,2022-04-26 19:31:44,14,bytearray(b'Regular_achieverlike')
162,2022-05-05 17:26:32,14,bytearray(b'Regular_achieverlike')
163,2022-03-15 22:31:32,13,bytearray(b'Underachiever')
163,2022-03-20 12:12:27,13,bytearray(b'Underachiever')
